id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
73155,https://www.airbnb.com/rooms/73155,20241223204511,2024-12-23,city scrape,Apartment in centre of Rotterdam,"This bright comfortable one bedroom apartment with a architectural thouch has a true cosy feeling! It comfortably fits two and is centrally located on a quiet street, near everything you need! Shops, musea, transport, dining, bars and supermarket!<br />Take a look at the floorplan to save money.","The apartment is in a quiet side street of the Witte de With. So you are near the restaurants, bars and pubs but you don't have the noise!",https://a0.muscache.com/pictures/miso/Hosting-73155/original/de9253d1-f8c9-4d29-8ef4-2b17680086ab.jpeg,381163,https://www.airbnb.com/users/show/381163,Kim,2011-02-07,"Rotterdam, Netherlands","Hi I'm Kim and I'm an architect. 
I studied at the TU in Delft. The apartment is renewed by myself. I wanted to created a place where you feel at home. It is a combined style of wood some color and comfortable warm furniture.  You are very welcome to find out yourself :)

Take a look at the floor plan between the pictures. The whole apartment is yours! To save money contact me directly via contact info at the floor plan.",within a few hours,100%,85%,f,https://a0.muscache.com/im/pictures/user/User-381163/original/7cddb6dc-4731-43ec-9b5a-9055818b02da.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-381163/original/7cddb6dc-4731-43ec-9b5a-9055818b02da.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Rotterdam, South Holland, Netherlands",Stadsdriehoek,Rotterdam Centrum,51.91683,4.48294,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1,1,"[""Hot water"", ""Iron"", ""Heating"", ""Kitchen"", ""Room-darkening shades"", ""Hair dryer"", ""AH conditioner"", ""Private entrance"", ""Bed linens"", ""Wine glasses"", ""Toaster"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Hot water kettle"", ""Paid parking off premises"", ""Refrigerator"", ""AH body soap"", ""Portable fans"", ""Hangers"", ""Dishes and silverware"", ""Freezer"", ""Oven"", ""Ethernet connection"", ""Baking sheet"", ""Essentials"", ""Free washer \u2013 In unit"", ""Dining table"", ""Coffee"", ""Laundromat nearby"", ""Books and reading material"", ""HDTV with premium cable, standard cable"", ""Long term stays allowed"", ""Stove"", ""Microwave"", ""Cooking basics"", ""Dedicated workspace"", ""Fast wifi \u2013 504 Mbps"", ""Host greets you"", ""Single level home"", ""Coffee maker"", ""Shower gel"", ""Clothing storage: closet and wardrobe"", ""Cleaning products"", ""Shampoo"", ""Luggage dropoff allowed"", ""Mosquito net""]",$125.00,7,1125,2,7,1125,1125,7.0,1125.0,,t,22,32,32,187,2024-12-23,121,4,0,2011-05-29,2024-09-01,4.94,4.97,4.97,4.95,4.95,4.96,4.86,0599 D9BA 806A 9A56 BDBB,f,1,1,0,0,0.73
77592,https://www.airbnb.com/rooms/77592,20241223204511,2024-12-24,city scrape,"Charming, Cozy Rotterdam Center",,,https://a0.muscache.com/pictures/e96512a1-b4c7-463e-bd52-3c99ed5f8e19.jpg,416305,https://www.airbnb.com/users/show/416305,Jos,2011-03-01,"Rotterdam, Netherlands","Welcome to Rotterdam! This apartment belongs with Hotel van Walsum, a family-run hotel in a historic building from 1895. We know you will enjoy your stay here.",N/A,N/A,0%,f,https://a0.muscache.com/im/pictures/user/b6041d69-c701-4b57-acbf-130741440899.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b6041d69-c701-4b57-acbf-130741440899.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,,Middelland,Delfshaven,51.9149,4.46322,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,2,"[""Paid parking lot on premises \u2013 16 spaces"", ""Iron"", ""Heating"", ""Kitchen"", ""Washer"", ""Hair dryer"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Self check-in"", ""Fast wifi \u2013 764 Mbps"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Building staff"", ""Essentials"", ""Indoor fireplace"", ""Smoke alarm"", ""Dedicated workspace"", ""Fire extinguisher"", ""Shampoo""]",$150.00,2,730,2,2,730,730,2.0,730.0,,t,0,0,0,0,2024-12-24,18,0,0,2011-04-12,2022-10-02,4.78,4.72,4.78,4.89,4.61,4.83,4.56,Exempt,f,1,1,0,0,0.11
101526,https://www.airbnb.com/rooms/101526,20241223204511,2024-12-23,city scrape,Apartment Dependance Rotterdam,,"Lively young neighborhood. Bistro on the corner, Lots of nice shops, Museums within walking distance, Cinema, public transport all nearby.",https://a0.muscache.com/pictures/679013/0bb0d33d_original.jpg,531869,https://www.airbnb.com/users/show/531869,Loes,2011-04-24,"Rotterdam, Netherlands","I am a mimeplayer as a professional, play theatre acts on festivals, busines parties, weddings, conferences, etc. On the picture is shown me and my husband as ""Henk en Ien"",  our cotton candy act. www.suikerspinmachien.nl.
My initiative to start renting an apartment was inspired by my colleague, who did it already in The Hague, Maff apartment.
now it is, next to my work, my pasion to entertain people and make sure that my guests feel at home.
The apartment is renovated is 2008 with help from an architect, my husband and a few great workers to make it a little palace in Rotterdam. Sometimes, when it is not rented, me and my husband stay there to be on holliday for a night. We always ejoy staying. ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/eb0aa9f1-5fbd-4bd7-ae91-bfb3786fffec.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eb0aa9f1-5fbd-4bd7-ae91-bfb3786fffec.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,"Rotterdam, South Holland, Netherlands",Dijkzigt,Rotterdam Centrum,51.91246,4.46586,Entire condo,Entire home/apt,2,1.5,1.5 baths,1,1,"[""Wifi"", ""Hot water"", ""Iron"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""First aid kit"", ""Wine glasses"", ""Self check-in"", ""Toaster"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Hot water kettle"", ""Refrigerator"", ""Dishes and silverware"", ""Portable fans"", ""Hangers"", ""Freezer"", ""Blender"", ""Building staff"", ""Essentials"", ""Free washer \u2013 In unit"", ""Dining table"", ""Coffee"", ""Books and reading material"", ""Long term stays allowed"", ""Microwave"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Portable air conditioning"", ""Coffee maker: Nespresso"", ""Fire extinguisher"", ""Clothing storage: closet and wardrobe"", ""Cleaning products"", ""Shampoo"", ""TV"", ""Luggage dropoff allowed""]",$140.00,7,365,5,7,90,1125,6.8,1010.3,,t,0,0,22,252,2024-12-23,26,8,0,2011-06-03,2024-10-22,4.88,4.92,5.0,5.0,5.0,4.92,4.83,0599 51CC CA3A 88B0 CEF1,f,1,1,0,0,0.16
539905,https://www.airbnb.com/rooms/539905,20241223204511,2024-12-24,previous scrape,Sunny garden apt in Kralingen/R'dam,,,https://a0.muscache.com/pictures/6557859/860ad071_original.jpg,2652971,https://www.airbnb.com/users/show/2652971,Michael,2012-06-16,"New York, NY","This apartment is my ""pied a terre"" in Rotterdam acquired many years ago.  Kralingen, where the apartment is located, was a village until 1895(?) and still feels like a village even though it is only 1 kilometer from the heart of Rotterdam...such as the main public library,  the main fruit and vegetable market and the Hoogstraat (Highstreet or Main St.).

The nearby streets and houses are really lovely, lovely, lovely and very quaint...  Just thinking about taking a walk within a block or two from my apartment lifts my spirits even when I am not at home in Rotterdam.    Rotterdam  is constantly changing and is a great modern city.

It would be my pleasure to give you more info on Rotterdam and the Netherlands ... just let me know what your interests are!
 ",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/2652971/profile_pic/1339865622/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2652971/profile_pic/1339865622/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Kralingen Oost,Kralingen-Crooswijk,51.92292,4.51435,Entire condo,Entire home/apt,2,,1 bath,1,,"[""Smoke alarm"", ""Essentials"", ""Wifi"", ""Iron"", ""Heating"", ""Kitchen"", ""Washer"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Fire extinguisher"", ""Dishes and silverware"", ""Hangers"", ""Lake access"", ""Shampoo"", ""First aid kit"", ""Free street parking"", ""TV with standard cable""]",,4,90,4,4,90,90,4.0,90.0,,t,0,0,0,54,2024-12-24,24,0,0,2012-10-13,2022-09-11,4.92,4.83,4.83,5.0,5.0,4.96,4.79,0599 F642 774A E974 C0A9,f,1,1,0,0,0.16
763422,https://www.airbnb.com/rooms/763422,20241223204511,2024-12-24,city scrape,City appartment: b&b Walenburg,"A lovely, comfortable stay in the city centre of Rotterdam. The appartment is very spacious, has it's own kitchen and a nice garden-view. At night it is very quiet. The Central Station, as well as the town center and restaurants are on walking distance.",The northern side of Rotterdam Centre is an up-coming area. Here you will find authentic old pre-war houses. The atmosphere is pleasant. There are lots of nice little restaurants.,https://a0.muscache.com/pictures/51971409/2309608f_original.jpg,4024319,https://www.airbnb.com/users/show/4024319,Machteld,2012-10-31,"Rotterdam, Netherlands","I'm an event organiser in creative industry, based in Rotterdam, the Netherlands. I live in the city center of Rotterdam for almost 25 years and I can tell you: I love my city. I also like to travel, to take pictures, to watch movies (our Rotterdam Filmfestival is awesome!), read books and to cook. Saturdays I watch my sons football match and I do some groceries on the Rotterdam Market.",within an hour,100%,100%,f,https://a0.muscache.com/im/users/4024319/profile_pic/1351757885/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4024319/profile_pic/1351757885/original.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"Rotterdam, South Holland, Netherlands",Blijdorp,Noord,51.93021,4.46853,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1,0,"[""Garden view"", ""Electric stove"", ""High chair"", ""Wifi"", ""Hot water"", ""Children\u2019s dinnerware"", ""Heating"", ""Crib"", ""Kitchen"", ""Hair dryer"", ""Bed linens"", ""Breakfast"", ""First aid kit"", ""Wine glasses"", ""TV with standard cable"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Hot water kettle"", ""Coffee maker: drip coffee maker, pour-over coffee"", ""Mini fridge"", ""Refrigerator"", ""Dishes and silverware"", ""Oven"", ""Hangers"", ""Bodyshop shampoo"", ""Essentials"", ""Dining table"", ""Coffee"", ""Laundromat nearby"", ""Outdoor dining area"", ""Books and reading material"", ""Backyard"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Cooking basics"", ""Host greets you"", ""Shower gel"", ""Fire extinguisher"", ""Bodyshop body soap"", ""Cleaning products"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Paid parking off premises""]",$115.00,2,90,1,2,1125,1125,1.9,1125.0,,t,14,26,48,103,2024-12-24,390,23,1,2013-06-10,2024-12-07,4.81,4.89,4.91,4.95,4.93,4.88,4.78,0599 0D64 133D 0093 457A,f,1,0,1,0,2.78
878959,https://www.airbnb.com/rooms/878959,20241223204511,2024-12-24,previous scrape,Apartment  Rotterdam Noord,"The wonderfully spacious two-room Apartment Rotterdam Noord is located at ground level on a quiet street. The city center at a 10 minute walk and public transport available at the end of the street. A spacious and cozy bedroom with closets, small desk and a nice double bed. Living room with lounge area, dining table and workplace with WiFi. Private bathroom with shower and toilet. A kitchen for preparing simple meals. Covered balcony and south facing garden. A pleasant stay.",Apartment Rotterdam Noord is situated in a quiet street in a lively neighborhood in Rotterdam Noord. In this area the most small and creative businesses in Rotterdam.,https://a0.muscache.com/pictures/20375825/17dc0f33_original.jpg,4646003,https://www.airbnb.com/users/show/4646003,Michel,2013-01-09,"Rotterdam, Netherlands","We wonen zelf boven de BnB, hierdoor is het gemakkelijk contact met gasten te hebben. Ik hou van roeien, lezen en ondernemen en vind het leuk nieuwe mensen te ontmoeten. ",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/865779fc-92a6-4396-95fd-19ecec927489.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/865779fc-92a6-4396-95fd-19ecec927489.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Rotterdam, South Holland, Netherlands",Oude Noorden,Noord,51.93319,4.47658,Entire rental unit,Entire home/apt,2,,1.5 baths,1,,"[""Wifi"", ""Hot water"", ""Iron"", ""Kitchen"", ""Room-darkening shades"", ""Hair dryer"", ""Private entrance"", ""Bed linens"", ""Wine glasses"", ""TV with standard cable"", ""Extra pillows and blankets"", ""Pocket wifi"", ""Private patio or balcony"", ""Hot water kettle"", ""Central heating"", ""Mini fridge"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Ethernet connection"", ""Essentials"", ""Free washer \u2013 In unit"", ""Coffee maker: Keurig coffee machine"", ""Body soap"", ""Dining table"", ""Laundromat nearby"", ""Outdoor dining area"", ""Long term stays allowed"", ""Microwave"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Host greets you"", ""Single level home"", ""Clothing storage: closet and wardrobe"", ""Board games"", ""Shampoo"", ""Outdoor furniture""]",,6,90,6,6,90,90,6.0,90.0,,t,0,0,0,0,2024-12-24,20,0,0,2013-03-18,2023-05-03,4.95,4.94,4.94,5.0,5.0,4.74,4.89,0599 8D6D 8745 6244 F5F9,f,1,1,0,0,0.14
1322782,https://www.airbnb.com/rooms/1322782,20241223204511,2024-12-23,city scrape,Spacious room close to city centre,"Spacious room with sink & private balcony in a beautiful privately-owned house in a quiet, safe, street and neighbourhood. <br /><br />Bathroom and toilet shared with the host. Shared kitchenette on the 2nd floor for minimal usage. <br /><br />5 minutes walk to bus (38, 40, 456, 824)  and tram (21, 23, 24). 15 minutes walk to Rotterdam central station. <br /><br />Close to city centre, hospital, & a direct tram to university. <br /><br />Washing machine: 3€. Bicycles (subject to availability): 5€ each (any damages at own expense).",,https://a0.muscache.com/pictures/66768021/f135743b_original.jpg,6926282,https://www.airbnb.com/users/show/6926282,Marion,2013-06-15,"Rotterdam, Netherlands","",within a few hours,100%,44%,f,https://a0.muscache.com/im/pictures/user/User/original/0b14d2bd-6cf8-4eb8-82be-08edcc9e6cfa.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/0b14d2bd-6cf8-4eb8-82be-08edcc9e6cfa.jpeg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,,Nieuwe Westen,Delfshaven,51.92127,4.4563,Private room in home,Private room,2,1.0,1 shared bath,1,1,"[""Wifi"", ""Hot water"", ""Iron"", ""Heating"", ""Rice maker"", ""Hair dryer"", ""Bed linens"", ""Kitchenette"", ""Wine glasses"", ""Toaster"", ""Extra pillows and blankets"", ""Pocket wifi"", ""Drying rack for clothing"", ""Hot water kettle"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Paid parking on premises"", ""Essentials"", ""Dining table"", ""Coffee"", ""Books and reading material"", ""Bikes"", ""Paid washer"", ""Stove"", ""Microwave"", ""Lock on bedroom door"", ""Smoke alarm"", ""Dedicated workspace"", ""Host greets you"", ""Clothing storage: dresser"", ""Coffee maker"", ""Patio or balcony"", ""Cleaning products"", ""Luggage dropoff allowed""]",$70.00,3,8,3,3,8,8,3.0,8.0,,t,17,39,50,132,2024-12-23,147,15,0,2015-03-28,2024-10-05,4.9,4.87,4.69,4.95,4.94,4.86,4.9,0599 7F3D 2D0E ECD3 0C97,f,3,0,3,0,1.24
1329363,https://www.airbnb.com/rooms/1329363,20241223204511,2024-12-23,city scrape,Colourful Room Close to City Centre,,"The neighbourhood is excellent, safe and quiet.",https://a0.muscache.com/pictures/2b52912e-ca06-4db8-b708-a6be46c8f3b6.jpg,6926282,https://www.airbnb.com/users/show/6926282,Marion,2013-06-15,"Rotterdam, Netherlands","",within a few hours,100%,44%,f,https://a0.muscache.com/im/pictures/user/User/original/0b14d2bd-6cf8-4eb8-82be-08edcc9e6cfa.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/0b14d2bd-6cf8-4eb8-82be-08edcc9e6cfa.jpeg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,"Rotterdam, South Holland, Netherlands",Middelland,Delfshaven,51.91955,4.4561,Private room in earthen home,Private room,1,1.5,1.5 shared baths,2,1,"[""Wifi"", ""Hot water"", ""Iron"", ""Heating"", ""Kitchen"", ""Rice maker"", ""Washer"", ""Hair dryer"", ""Bed linens"", ""Clothing storage"", ""Wine glasses"", ""Toaster"", ""Extra pillows and blankets"", ""Pocket wifi"", ""Drying rack for clothing"", ""Hot water kettle"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Freezer"", ""Blender"", ""Essentials"", ""Dining table"", ""Coffee"", ""Outdoor dining area"", ""Books and reading material"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Stove"", ""Microwave"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Host greets you"", ""Coffee maker"", ""Patio or balcony"", ""Cleaning products"", ""Outdoor furniture"", ""Luggage dropoff allowed""]",$46.00,3,30,3,3,30,30,3.0,30.0,,t,1,1,10,99,2024-12-23,81,3,1,2014-06-19,2024-11-29,4.79,4.81,4.64,4.9,4.85,4.86,4.84,0599 7F3D 2D0E ECD3 0C97,f,3,0,3,0,0.63
1403364,https://www.airbnb.com/rooms/1403364,20241223204511,2024-12-23,city scrape,Romantic deckhouse on historic ship central R'dam,"Romantic overnight in the deckhouse of a historic ship.<br />This skipper's house is 4x5 m2 and 182 cm high.<br />With a seat on the roof of the deckhouse and a beautiful view.<br /><br />This special and bright space is located in a quiet spot in the heart of Rotterdam in the former skipper's house of the historic ship ""Veinard"", which means ""Bofkont"".<br /><br />Spending the night here will complete your Rotterdam experience, whether you came for relaxation and fun or as a business traveler.<br /><br />welcome!",Trendy and dynamic neighbourhood 'Witte de Wihtstraat' is just around the corner.<br />Supermarket SPAR  5 minutes walking.<br />there are lots of things to do here close by.,https://a0.muscache.com/pictures/pro_photo_tool/Hosting-1403364-unapproved/original/7bd1db9a-4699-46cf-bc52-4e63c7d9f56c.JPEG,7574324,https://www.airbnb.com/users/show/7574324,Esther,2013-07-18,"Rotterdam, Netherlands","Dear Guests,

From the first of July 2021 Im the new owner of the ship MS Veinard in Rotterdam. 
Because for my work as fine artist and Polar expedition photographer I'm not always around. Michiel from rhBnB (Rotterdam Host BnB) is the host. If you plan to stay on the MS Veinard he will be your contact person,  receive you and can answer all your questions.

This kind of ship is called a Spits. She is build in Belgium in 1913 and 38.40 meter long and 5.04 meter wide.
From 1948 the ships name is Veinarrd, what ‘Lucky one’ means (bofkont in Dutch).

You are very welcome on the MS VEINARD surrounded by the vibrant city of Rotterdam. 

Esther
",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/c61a4bdd-abe6-4745-8118-e5d94ea5f2c0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c61a4bdd-abe6-4745-8118-e5d94ea5f2c0.jpg?aki_policy=profile_x_medium,,3,3,['phone'],t,t,"Rotterdam, So, Netherlands",Stadsdriehoek,Rotterdam Centrum,51.9149,4.48253,Boat,Entire home/apt,2,1.0,1 bath,1,1,"[""Electric stove"", ""Wifi"", ""Hot water"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Conditioner"", ""First aid kit"", ""Wine glasses"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Mini fridge"", ""Marina view"", ""Paid parking off premises"", ""Refrigerator"", ""Dishes and silverware"", ""Portable fans"", ""Hangers"", ""Oven"", ""Essentials"", ""Body soap"", ""Dining table"", ""Coffee"", ""Books and reading material"", ""Harbor view"", ""Microwave"", ""Smoke alarm"", ""Cooking basics"", ""Waterfront"", ""Dedicated workspace"", ""Host greets you"", ""Coffee maker"", ""Patio or balcony"", ""Shower gel"", ""Fire extinguisher"", ""Cleaning products"", ""Shampoo"", ""Outdoor furniture"", ""Mosquito net""]",$79.00,2,7,2,2,1125,1125,2.0,1125.0,,t,10,30,56,300,2024-12-23,630,73,4,2013-11-05,2024-12-22,4.71,4.76,4.76,4.81,4.8,4.89,4.61,0599 55C3 36A7 F981 E15C,t,2,2,0,0,4.65
1439548,https://www.airbnb.com/rooms/1439548,20241223204511,2024-12-24,city scrape,Boutique hostel in the middle of Rotterdam,"In Hostel Ani&Haakien you find the real oldschool backpackers vibe, its definitly a place where you can meetup with others! If you come to study in Rotterdam for a while, this must be the place the build on your new social enviroment.","You won’t find us on a busy bar street — at Ani&Haakien you’ll get a good night’s sleep<br />But no worries, the young and bustling Central District area of Rotterdam with good coffee places, awesome design shops and bars are really nearby! Drop your heavy bags at the hostel, and let us tell you all about the cool stuff to do in Rotterdam. Hostel Ani & Haakien is the perfect hub for day trips! Just 10min to Delft / 40min to Amsterdam / 40min to Utrecht and 20min to The Hague!",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQzOTU0OA%3D%3D/original/ba4107fa-3684-4d19-baee-6abf6bf5083b.jpeg,7718807,https://www.airbnb.com/users/show/7718807,Hostel Ani & Haakien,2013-07-25,"Rotterdam, Netherlands",We are Joyce & Danielle who run this cute small hostel in the centre of rotterdam already for 10 years :))) Both born and raised in Rotterdam and together with our superteam we love to welcome all travellers who like to get to know this awesome city!,within a few hours,100%,78%,t,https://a0.muscache.com/im/pictures/user/User-7718807/original/cf7c2027-5b0c-4cdc-9314-60078d5d67bc.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-7718807/original/cf7c2027-5b0c-4cdc-9314-60078d5d67bc.jpeg?aki_policy=profile_x_medium,,3,5,"['email', 'phone']",t,t,"Rotterdam, South Holland, Netherlands",Oude Westen,Rotterdam Centrum,51.92088,4.46529,Shared room in hostel,Shared room,12,0.5,Shared half-bath,1,12,"[""High chair"", ""Wifi"", ""Hot water"", ""Iron"", ""Heating"", ""Exterior security cameras on property"", ""Kitchen"", ""Room-darkening shades"", ""Hair dryer"", ""Bed linens"", ""First aid kit"", ""Wine glasses"", ""Pack \u2019n play/Travel crib"", ""Extra pillows and blankets"", ""Toaster"", ""Drying rack for clothing"", ""Hot water kettle"", ""Air conditioning"", ""Paid dryer \u2013 In building"", ""Refrigerator"", ""Dishes and silverware"", ""Portable fans"", ""Oven"", ""Freezer"", ""Paid parking on premises"", ""Baking sheet"", ""Dining table"", ""Coffee"", ""Outdoor dining area"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Bikes"", ""Stove"", ""Children\u2019s books and toys"", ""Microwave"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Safe"", ""Host greets you"", ""Coffee maker"", ""Fire extinguisher"", ""Sound system"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Paid parking off premises"", ""Hammock""]",$35.00,1,31,1,2,7,31,1.3,26.5,,t,11,26,54,150,2024-12-24,173,6,1,2013-09-06,2024-12-02,4.72,4.77,4.76,4.84,4.84,4.81,4.71,Exempt,f,3,0,0,3,1.26
